Date,LP_Total_Value,FD_Benchmark,LP_Value_No_Fees
2024-04-11,1627198.1189261926,1177508.2259989916,1022698.1189261925
2024-04-12,1626587.0278698877,1177587.8337670884,1021837.0278698878
2024-04-15,1632116.849597116,1177667.4469172256,1027116.849597116
2024-04-16,1634768.8641341843,1177747.065449767,1029518.8641341843
2024-04-17,1636250.036152678,1177826.6893650764,1030750.036152678
2024-04-18,1633221.89320634,1177906.318663518,1027471.89320634
2024-04-19,1634778.6121657768,1177985.953345455,1028778.6121657768
2024-04-22,1634273.2328003747,1178065.5934112524,1028023.2328003747
2024-04-23,1635248.4474158175,1178145.2388612735,1028748.4474158174
2024-04-24,1634320.0411987454,1178224.8896958823,1027570.0411987454
2024-04-25,1635174.3266822612,1178304.545915443,1028174.3266822611
2024-04-26,1633838.1110545434,1178384.2075203198,1026588.1110545434
2024-04-29,1635848.1116596393,1178463.8745108768,1028348.1116596393
2024-04-30,1635063.2356259562,1178543.5468874779,1027313.2356259563
2024-05-01,1639203.317798337,1178623.2246504873,1031203.317798337
2024-05-02,1635495.2523835106,1178702.907800269,1027245.2523835105
2024-05-03,1631031.8976473114,1178782.5963371873,1022531.8976473116
2024-05-06,1629121.6513300673,1178862.290261607,1020371.6513300674
2024-05-07,1629968.3731150858,1178941.989573891,1020968.3731150858
2024-05-08,1632288.035138422,1179021.6942744048,1023038.0351384219
2024-05-09,1633353.744003743,1179101.4043635123,1023853.7440037429
2024-05-10,1630824.0848059885,1179181.1198415773,1021074.0848059885
2024-05-13,1632886.9412565357,1179260.840708965,1022886.9412565356
2024-05-14,1631852.8233485608,1179340.5669660391,1021602.823348561
2024-05-15,1631740.3060848694,1179420.298613164,1021240.3060848694
2024-05-16,1625600.061383015,1179500.0356507045,1014850.061383015
2024-05-17,1627542.078745665,1179579.778079025,1016542.078745665
2024-05-20,1627059.3904757549,1179659.5258984894,1015809.3904757549
2024-05-21,1629205.267521713,1179739.2791094629,1017705.2675217128
2024-05-22,1629364.593183775,1179819.0377123097,1017614.593183775
2024-05-23,1631638.9630601571,1179898.801707394,1019638.9630601571
2024-05-24,1633309.0474530235,1179978.5710950808,1021059.0474530236
2024-05-27,1631912.3222373277,1180058.3458757345,1019412.3222373276
2024-05-28,1631384.3418204635,1180138.1260497198,1018634.3418204634
2024-05-29,1631505.939034069,1180217.9116174013,1018505.9390340688
2024-05-30,1634482.742386372,1180297.7025791435,1021232.7423863721
2024-05-31,1632987.869178271,1180377.498935311,1019487.8691782708
2024-06-03,1633925.265301227,1180457.3006862688,1020175.265301227
2024-06-04,1629937.7932621492,1180537.1078323817,1015937.7932621493
2024-06-05,1631434.0926776375,1180616.920374014,1017184.0926776375
2024-06-06,1632582.912182399,1180696.738311531,1018082.912182399
2024-06-07,1630687.7932621492,1180776.561645297,1015937.7932621493
2024-06-10,1636225.1786878747,1180856.3903756773,1021225.1786878748
2024-06-11,1637003.9172304473,1180936.2245030364,1021753.9172304473
2024-06-12,1637450.3032592877,1181016.0640277392,1021950.3032592877
2024-06-13,1633946.2776158284,1181095.9089501507,1018196.2776158286
2024-06-14,1636522.7452119538,1181175.759270636,1020522.7452119538
2024-06-17,1638600.6390154657,1181255.6149895594,1022350.6390154657
2024-06-18,1636894.3424255592,1181335.4761072865,1020394.3424255593
2024-06-19,1637333.1647559023,1181415.3426241823,1020583.1647559024
2024-06-20,1637175.265301227,1181495.2145406115,1020175.265301227
2024-06-21,1640159.6323520276,1181575.0918569393,1022909.6323520275
2024-06-24,1641142.3206219377,1181654.9745735307,1023642.3206219377
2024-06-25,1639602.1552668824,1181734.862690751,1021852.1552668824
2024-06-26,1641257.0222187245,1181814.7562089649,1023257.0222187245
2024-06-27,1644649.2887242003,1181894.6551285381,1026399.2887242003
2024-06-28,1644257.274792228,1181974.5594498354,1025757.2747922279
2024-07-01,1642014.5859172218,1182054.469173222,1023264.5859172218
2024-07-02,1644553.32506489,1182134.3842990634,1025553.3250648902
2024-07-03,1643481.4787084588,1182214.3048277244,1024231.4787084588
2024-07-04,1641661.8166851227,1182294.2307595706,1022161.8166851227
2024-07-05,1640673.0809681318,1182374.162094967,1020923.0809681318
2024-07-08,1638747.6172098634,1182454.0988342795,1018747.6172098633
2024-07-09,1639586.7752963845,1182534.040977873,1019336.7752963845
2024-07-10,1640690.3926982216,1182613.9885261126,1020190.3926982216
